R,G,B,Etiqueta
93,105,60,platano
90,106,57,platano
90,105,59,platano
89,106,56,platano
88,106,57,platano
88,105,58,platano
88,106,59,platano
88,107,58,platano
88,107,59,platano
88,107,59,platano
88,106,58,platano
88,106,57,platano
88,106,57,platano
87,107,59,platano
89,106,58,platano
90,107,57,platano
89,108,57,platano
88,106,57,platano
90,108,59,platano
91,106,57,platano
90,104,59,platano
93,106,59,platano
93,106,58,platano
92,106,58,platano
90,107,58,platano
90,106,57,platano
91,106,57,platano
92,107,58,platano
90,107,59,platano
89,107,57,platano
87,107,57,platano
89,107,58,platano
88,106,58,platano
90,107,60,platano
88,107,59,platano
88,106,59,platano
88,106,60,platano
86,105,60,platano
86,106,61,platano
87,106,60,platano
87,107,62,platano
86,106,62,platano
87,105,61,platano
87,106,61,platano
87,104,62,platano
88,106,60,platano
90,105,62,platano
88,104,69,platano
